snap_ts,instrument_name,underlying_price,mark_price,mark_iv,open_interest,bid_price,ask_price,volume,volume_usd
1788239347308,ETH-25DEC26-4400-P,2498.2,0.768814,58.62,20.0,0.7565,0.782,0.0,0.0
1788239347308,ETH-3SEP26-2800-C,2475.17,0.000186,69.33,21.0,0.0001,0.0003,20.0,19.85
1788239347308,ETH-25SEP26-3400-C,2482.76,0.001441,60.41,9034.0,0.0012,0.0016,0.0,0.0
1788239347308,ETH-25SEP26-4400-P,2482.72,0.772404,77.34,281.0,0.766,0.7795,0.0,0.0
1788239347308,ETH-11SEP26-1800-C,2477.57,0.273663,74.93,0.0,0.2715,0.2765,0.0,0.0
1788239347308,ETH-4SEP26-2650-C,2475.6,0.001829,52.47,5567.0,0.0016,0.0019,7.0,35.75
1788239347308,ETH-25DEC26-7000-P,2498.18,1.80282,69.27,0.0,1.781,1.8255,0.0,0.0
1788239347308,ETH-1SEP26-2680-C,2474.44,0.0,77.34,1265.0,,0.0001,0.0,0.0
1788239347308,ETH-25JUN27-4000-C,2551.57,0.066195,56.92,4518.0,0.0645,0.068,0.0,0.0
1788239347308,ETH-18SEP26-2900-P,2479.6,0.174719,53.84,0.0,0.17,0.179,0.0,0.0
1788239347308,ETH-26MAR27-1800-C,2523.13,0.331156,57.4,3427.0,0.325,0.3375,0.0,0.0
1788239347308,ETH-3SEP26-2600-P,2475.15,0.052269,50.22,0.0,0.0485,0.0555,0.0,0.0
1788239347308,ETH-11SEP26-2100-C,2477.59,0.153586,54.98,1.0,0.1505,0.1565,0.0,0.0
1788239347308,ETH-25JUN27-1900-C,2551.53,0.331892,56.9,115.0,0.324,0.3385,0.0,0.0
1788239347308,ETH-2SEP26-2480-C,2474.8,0.008101,41.2,374.0,0.0075,0.0085,240.0,4611.86
1788239347308,ETH-3SEP26-2280-P,2475.15,0.000407,55.63,3.0,0.0003,0.0005,2.0,6.33
1788239347308,ETH-26MAR27-2000-P,2523.13,0.067131,55.86,1806.0,0.066,0.0685,1.0,165.51
1788239347308,ETH-25JUN27-3900-C,2551.53,0.070968,56.76,70.0,0.069,0.0725,0.0,0.0
1788239347308,ETH-25SEP26-2100-P,2482.72,0.006588,52.94,38120.0,0.006,0.007,44.0,893.72
1788239347308,ETH-3SEP26-2660-C,2475.15,0.000853,56.26,0.0,0.0007,0.0009,0.0,0.0
1788239347308,ETH-27NOV26-3400-C,2493.76,0.019065,54.85,294.0,0.0185,0.0195,1.0,44.18
1788239347308,ETH-11SEP26-2400-P,2477.59,0.016566,45.33,1508.0,0.016,0.017,103.0,4601.6
1788239347308,ETH-4SEP26-2050-P,2475.56,0.000151,82.54,1792.0,,0.0003,0.0,0.0
1788239347308,ETH-1SEP26-2500-C,2474.4,0.000174,36.76,1020.0,,0.0002,966.0,4506.39
1788239347308,ETH-27NOV26-3000-C,2493.76,0.038929,52.68,79.0,0.0385,0.0395,10.0,891.52
1788239347308,ETH-25SEP26-16000-P,2482.76,5.444563,189.54,30.0,5.4115,5.4755,0.0,0.0
1788239347308,ETH-25SEP26-2050-P,2482.76,0.005116,54.79,3172.0,0.0048,0.0055,22.0,351.74
1788239347308,ETH-25JUN27-6000-C,2551.53,0.020628,60.6,246.0,0.019,0.022,19.0,885.26
1788239347308,ETH-11SEP26-3000-P,2477.57,0.211924,59.14,0.0,0.208,0.2155,0.0,0.0
1788239347308,ETH-3SEP26-2900-P,2475.15,0.171752,81.89,0.0,0.1675,0.1755,0.0,0.0
1788239347308,ETH-26MAR27-4500-P,2523.13,0.807974,58.0,0.0,0.791,0.8265,0.0,0.0
1788239347308,ETH-25SEP26-1600-C,2482.76,0.356259,76.74,3418.0,0.354,0.3585,0.0,0.0
1788239347308,ETH-27NOV26-4200-P,2493.76,0.689898,60.14,0.0,0.6795,0.698,0.0,0.0
1788239347308,ETH-27NOV26-1600-P,2493.76,0.007086,60.95,3.0,0.007,0.0075,1.0,18.35
1788239347308,ETH-27NOV26-2300-P,2493.76,0.061564,51.11,302.0,0.061,0.0625,300.0,46590.08
1788239347308,ETH-26MAR27-3000-P,2523.13,0.288306,54.81,352.0,0.2785,0.298,0.0,0.0
1788239347308,ETH-4SEP26-1750-C,2475.6,0.293138,109.24,0.0,0.291,0.2955,0.0,0.0
1788239347308,ETH-25DEC26-5200-P,2498.2,1.08497,62.86,0.0,1.07,1.1015,0.0,0.0
1788239347308,ETH-25JUN27-3900-P,2551.57,0.599469,56.76,0.0,0.5845,0.614,0.0,0.0
1788239347308,ETH-3SEP26-2380-P,2475.15,0.002206,45.59,139.0,0.002,0.0024,142.0,1901.12
1788239347308,ETH-25DEC26-4800-C,2498.18,0.005132,61.05,2691.0,0.0047,0.0055,0.0,0.0
1788239347308,ETH-25JUN27-4400-C,2551.57,0.050762,57.63,173.0,0.049,0.0525,0.0,0.0
1788239347308,ETH-25JUN27-2000-P,2551.53,0.090761,56.45,1802.0,0.089,0.0925,0.0,0.0
1788239347308,ETH-1SEP26-2520-C,2474.44,4.3e-05,46.31,886.0,,0.0001,1077.0,2291.2
1788239347308,ETH-4SEP26-1600-C,2475.6,0.353721,116.98,18.0,0.3515,0.356,0.0,0.0
1788239347308,ETH-1SEP26-2300-P,2474.4,0.0,66.18,54.0,,0.0001,1.0,0.25
1788239347308,ETH-25SEP26-2050-C,2482.76,0.179409,54.79,19.0,0.1755,0.1825,0.0,0.0
1788239347308,ETH-25DEC26-2700-P,2498.18,0.16482,51.75,771.0,0.1635,0.165,288.0,120409.33
1788239347308,ETH-2SEP26-2260-P,2474.82,0.000115,69.7,50.0,,0.0002,50.0,12.37
1788239347308,ETH-1SEP26-2640-C,2474.4,0.0,74.12,949.0,,0.0001,928.0,226.74
1788239347308,ETH-25SEP26-7500-C,2482.76,1.9e-05,118.97,2159.0,,0.0001,0.0,0.0
1788239347308,ETH-25SEP26-6800-P,2482.72,1.738954,110.41,0.0,1.7285,1.75,0.0,0.0
1788239347308,ETH-27NOV26-2650-P,2493.76,0.137154,51.31,87.0,0.136,0.1375,23.0,7880.38
1788239347308,ETH-3SEP26-2250-P,2475.17,0.00028,59.6,50.0,0.0002,0.0004,50.0,74.04
1788239347308,ETH-25DEC26-7000-C,2498.18,0.000803,69.27,3002.0,0.0005,0.0012,6.0,17.51
1788239347308,ETH-25SEP26-2250-P,2482.72,0.015562,49.95,3814.0,0.015,0.016,265.0,11772.99
1788239347308,ETH-11SEP26-2350-C,2477.59,0.062135,45.62,51.0,0.059,0.0655,0.0,0.0
1788239347308,ETH-25DEC26-1800-P,2498.18,0.020406,56.05,5237.0,0.02,0.021,249.0,12950.46
1788239347308,ETH-18SEP26-3000-C,2479.6,0.003255,55.77,235.0,0.003,0.0034,4.0,29.34
1788239347308,ETH-27NOV26-3600-C,2493.76,0.013603,56.01,1721.0,0.013,0.014,200.0,6412.9
1788239347308,ETH-2SEP26-2680-C,2474.8,0.000125,62.15,226.0,0.0001,0.0002,208.0,115.69
1788239347308,ETH-25JUN27-1400-P,2551.53,0.028861,61.74,1801.0,0.0275,0.03,1.0,71.63
1788239347308,ETH-25JUN27-1600-C,2551.57,0.416624,59.25,379.0,0.41,0.4235,0.0,0.0
1788239347308,ETH-27NOV26-2950-C,2493.76,0.042668,52.42,106.0,0.042,0.0435,0.0,0.0
1788239347308,ETH-27NOV26-2750-C,2493.76,0.061981,51.65,533.0,0.0615,0.0625,533.0,79681.01
1788239347308,ETH-25DEC26-5000-C,2498.2,0.004171,61.9,4232.0,0.0038,0.0045,0.0,0.0
1788239347308,ETH-26MAR27-2900-P,2523.18,0.259356,54.68,258.0,0.2505,0.27,0.0,0.0
1788239347308,ETH-25JUN27-4500-C,2551.53,0.047627,57.81,1490.0,0.046,0.049,223.0,25502.72
1788239347308,ETH-25SEP26-4500-C,2482.76,0.00015,79.82,8201.0,,0.0002,0.0,0.0
1788239347308,ETH-27NOV26-2900-C,2493.76,0.046866,52.23,117.0,0.046,0.0475,100.0,11040.8
1788239347308,ETH-26MAR27-4400-P,2523.13,0.770504,57.77,2.0,0.7535,0.7865,0.0,0.0
1788239347308,ETH-30OCT26-1600-P,2488.0,0.003157,62.33,2226.0,0.003,0.0034,0.0,0.0
1788239347308,ETH-3SEP26-2680-P,2475.17,0.083406,57.99,0.0,0.08,0.087,0.0,0.0
1788239347308,ETH-25JUN27-4200-C,2551.53,0.057866,57.28,554.0,0.056,0.0595,0.0,0.0
1788239347308,ETH-1SEP26-2620-P,2474.4,0.058834,73.97,0.0,0.0555,0.062,0.0,0.0
1788239347308,ETH-3SEP26-2660-P,2475.15,0.075522,56.26,0.0,0.0715,0.079,0.0,0.0
1788239347308,ETH-25SEP26-7000-C,2482.76,2e-05,112.41,2135.0,,0.0001,0.0,0.0
1788239347308,ETH-2SEP26-2460-C,2474.8,0.012306,40.86,165.0,0.0115,0.013,208.0,5093.29
1788239347308,ETH-27NOV26-2500-P,2493.76,0.100383,50.94,114.0,0.1,0.101,60.0,14984.38
1788239347308,ETH-25SEP26-11000-P,2482.76,3.430643,155.29,0.0,3.4125,3.451,0.0,0.0
1788239347308,ETH-11SEP26-2250-C,2477.59,0.096051,47.9,259.0,0.0925,0.1,0.0,0.0
1788239347308,ETH-18SEP26-2650-C,2479.6,0.017598,48.83,1341.0,0.017,0.018,743.0,29065.91
1788239347308,ETH-25SEP26-3300-P,2482.72,0.331147,58.54,3.0,0.326,0.3365,0.0,0.0
